"Name","Child Poverty by Poverty Level"
"Description","Poverty level is the ratio of household income to the Federal Poverty Level (FPL).&nbsp;The FPL varies based on the number of children and adults in a household and the age of the head of household. In 2019,&nbsp;<a href=""https://aspe.hhs.gov/2019-poverty-guidelines"" target=""_blank"">the annual income thresholds for a family of four</a>&nbsp;would correspond to the following breakdown of poverty levels:<br />
Below 100% FPL = Below $25,750<br />
100 to 199% FPL = $25,750 to $51,499<br />
Below 200% FPL = Below $51,500<br />
200 to 399% FPL = $51,500 to $102,999<br />
400% FPL and above = $103,000 and above"
"Source Notes","CCC Analysis of U.S. Census Bureau, American Community Survey Combined 3-Year Estimates, Public Use Microdata Sample Files (2005-2019). Retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the total population for whom poverty status was determined."

Location,Poverty Level,TimeFrame,DataFormat,Data,Fips
Tottenville,400% FPL and above,2012,Percent,0.51135,503
Battery Park/Tribeca,400% FPL and above,2012,Percent,0.80634,101
Greenwich Village,400% FPL and above,2012,Percent,0.80634,102
Chelsea/Clinton,400% FPL and above,2012,Percent,0.56237,104
Midtown Business District,400% FPL and above,2012,Percent,0.56237,105
Mott Haven,400% FPL and above,2012,Percent,0.03113,201
Hunts Point,400% FPL and above,2012,Percent,0.03113,202
Morrisania,400% FPL and above,2012,Percent,0.02572,203
East Tremont,400% FPL and above,2012,Percent,0.02572,206
Lower East Side,400% FPL and above,2011,Percent,0.20416,103
Murray Hill/Stuyvesant,400% FPL and above,2011,Percent,0.76817,106
Upper West Side,400% FPL and above,2011,Percent,0.69719,107
Upper East Side,400% FPL and above,2011,Percent,0.84037,108
Manhattanville,400% FPL and above,2011,Percent,0.2266,109
Central Harlem,400% FPL and above,2011,Percent,0.18017,110
East Harlem,400% FPL and above,2011,Percent,0.09864,111
Washington Heights,400% FPL and above,2011,Percent,0.13773,112
Concourse/Highbridge,400% FPL and above,2011,Percent,0.03034,204
University Heights,400% FPL and above,2011,Percent,0.03107,205
Bedford Park,400% FPL and above,2011,Percent,0.07227,207
Riverdale,400% FPL and above,2011,Percent,0.28742,208
Unionport/Soundview,400% FPL and above,2011,Percent,0.10951,209
Throgs Neck,400% FPL and above,2011,Percent,0.2825,210
Pelham Parkway,400% FPL and above,2011,Percent,0.20057,211
Williamsbridge,400% FPL and above,2011,Percent,0.17279,212
Williamsburg/Greenpoint,400% FPL and above,2011,Percent,0.09788,301
Fort Greene/Brooklyn Hts,400% FPL and above,2011,Percent,0.45831,302
Bedford Stuyvesant,400% FPL and above,2011,Percent,0.09609,303
Bushwick,400% FPL and above,2011,Percent,0.05526,304
East New York,400% FPL and above,2011,Percent,0.07155,305
Park Slope,400% FPL and above,2011,Percent,0.63881,306
Sunset Park,400% FPL and above,2011,Percent,0.17133,307
Crown Heights North,400% FPL and above,2011,Percent,0.19305,308
Crown Heights South,400% FPL and above,2011,Percent,0.14975,309
Bay Ridge,400% FPL and above,2011,Percent,0.27597,310
Bensonhurst,400% FPL and above,2011,Percent,0.17933,311
Borough Park,400% FPL and above,2011,Percent,0.08957,312
Coney Island,400% FPL and above,2011,Percent,0.1772,313
Flatbush/Midwood,400% FPL and above,2011,Percent,0.16894,314
Sheepshead Bay,400% FPL and above,2011,Percent,0.26511,315
Brownsville,400% FPL and above,2011,Percent,0.10144,316
East Flatbush,400% FPL and above,2011,Percent,0.18952,317
Canarsie,400% FPL and above,2011,Percent,0.30772,318
Astoria,400% FPL and above,2011,Percent,0.17878,401
Sunnyside/Woodside,400% FPL and above,2011,Percent,0.26517,402
Jackson Heights,400% FPL and above,2011,Percent,0.1101,403
Elmhurst/Corona,400% FPL and above,2011,Percent,0.08631,404
Ridgewood/Glendale,400% FPL and above,2011,Percent,0.25447,405
Rego Park/Forest Hills,400% FPL and above,2011,Percent,0.46547,406
Flushing,400% FPL and above,2011,Percent,0.31266,407
Fresh Meadows/Briarwood,400% FPL and above,2011,Percent,0.28297,408
Woodhaven,400% FPL and above,2011,Percent,0.17135,409
Howard Beach,400% FPL and above,2011,Percent,0.19969,410
Bayside,400% FPL and above,2011,Percent,0.44919,411
Jamaica/St. Albans,400% FPL and above,2011,Percent,0.18069,412
Queens Village,400% FPL and above,2011,Percent,0.37339,413
The Rockaways,400% FPL and above,2011,Percent,0.26258,414
St. George,400% FPL and above,2011,Percent,0.26519,501
South Beach,400% FPL and above,2011,Percent,0.3977,502
Tottenville,400% FPL and above,2011,Percent,0.48757,503
Battery Park/Tribeca,400% FPL and above,2011,Percent,0.82349,101
Greenwich Village,400% FPL and above,2011,Percent,0.82349,102
Chelsea/Clinton,400% FPL and above,2011,Percent,0.56683,104
Midtown Business District,400% FPL and above,2011,Percent,0.56683,105
Mott Haven,400% FPL and above,2011,Percent,0.03006,201
Hunts Point,400% FPL and above,2011,Percent,0.03006,202
Morrisania,400% FPL and above,2011,Percent,0.02976,203
East Tremont,400% FPL and above,2011,Percent,0.02976,206
Lower East Side,400% FPL and above,2010,Percent,0.19113,103
Murray Hill/Stuyvesant,400% FPL and above,2010,Percent,0.82635,106
Upper West Side,400% FPL and above,2010,Percent,0.67661,107
Upper East Side,400% FPL and above,2010,Percent,0.79867,108
Manhattanville,400% FPL and above,2010,Percent,0.20301,109
Central Harlem,400% FPL and above,2010,Percent,0.19761,110
East Harlem,400% FPL and above,2010,Percent,0.10233,111
Washington Heights,400% FPL and above,2010,Percent,0.15551,112
Concourse/Highbridge,400% FPL and above,2010,Percent,0.02591,204
University Heights,400% FPL and above,2010,Percent,0.03074,205
Bedford Park,400% FPL and above,2010,Percent,0.07156,207
Riverdale,400% FPL and above,2010,Percent,0.3279,208
Unionport/Soundview,400% FPL and above,2010,Percent,0.13773,209
Throgs Neck,400% FPL and above,2010,Percent,0.29464,210
Pelham Parkway,400% FPL and above,2010,Percent,0.20891,211
Williamsbridge,400% FPL and above,2010,Percent,0.18357,212
Williamsburg/Greenpoint,400% FPL and above,2010,Percent,0.09335,301
Fort Greene/Brooklyn Hts,400% FPL and above,2010,Percent,0.43823,302
Bedford Stuyvesant,400% FPL and above,2010,Percent,0.09968,303
Bushwick,400% FPL and above,2010,Percent,0.05125,304
East New York,400% FPL and above,2010,Percent,0.09042,305
Park Slope,400% FPL and above,2010,Percent,0.60426,306
Sunset Park,400% FPL and above,2010,Percent,0.2004,307
Crown Heights North,400% FPL and above,2010,Percent,0.19265,308
Crown Heights South,400% FPL and above,2010,Percent,0.19462,309
Bay Ridge,400% FPL and above,2010,Percent,0.27516,310
Bensonhurst,400% FPL and above,2010,Percent,0.1849,311
Borough Park,400% FPL and above,2010,Percent,0.10253,312
Coney Island,400% FPL and above,2010,Percent,0.15845,313
Flatbush/Midwood,400% FPL and above,2010,Percent,0.19885,314
Sheepshead Bay,400% FPL and above,2010,Percent,0.25712,315
Brownsville,400% FPL and above,2010,Percent,0.10668,316
East Flatbush,400% FPL and above,2010,Percent,0.19174,317
Canarsie,400% FPL and above,2010,Percent,0.31756,318
Astoria,400% FPL and above,2010,Percent,0.18373,401
Sunnyside/Woodside,400% FPL and above,2010,Percent,0.24465,402
Jackson Heights,400% FPL and above,2010,Percent,0.1049,403
Elmhurst/Corona,400% FPL and above,2010,Percent,0.09311,404
Ridgewood/Glendale,400% FPL and above,2010,Percent,0.2406,405
Rego Park/Forest Hills,400% FPL and above,2010,Percent,0.4504,406
Flushing,400% FPL and above,2010,Percent,0.33662,407
Fresh Meadows/Briarwood,400% FPL and above,2010,Percent,0.29569,408
Woodhaven,400% FPL and above,2010,Percent,0.1916,409
Howard Beach,400% FPL and above,2010,Percent,0.22092,410
Bayside,400% FPL and above,2010,Percent,0.46863,411
Jamaica/St. Albans,400% FPL and above,2010,Percent,0.20638,412
Queens Village,400% FPL and above,2010,Percent,0.38597,413
The Rockaways,400% FPL and above,2010,Percent,0.25794,414
St. George,400% FPL and above,2010,Percent,0.26803,501
South Beach,400% FPL and above,2010,Percent,0.42467,502
Tottenville,400% FPL and above,2010,Percent,0.51383,503
Battery Park/Tribeca,400% FPL and above,2010,Percent,0.75098,101
Greenwich Village,400% FPL and above,2010,Percent,0.75098,102
Chelsea/Clinton,400% FPL and above,2010,Percent,0.57499,104
Midtown Business District,400% FPL and above,2010,Percent,0.57499,105
Mott Haven,400% FPL and above,2010,Percent,0.03641,201
Hunts Point,400% FPL and above,2010,Percent,0.03641,202
Morrisania,400% FPL and above,2010,Percent,0.02848,203
East Tremont,400% FPL and above,2010,Percent,0.02848,206
Bronx,Below 100% FPL,2017,Number,146657,36005
Manhattan,Below 100% FPL,2017,Number,58461,36061
Brooklyn,Below 100% FPL,2017,Number,168218,36047
Queens,Below 100% FPL,2017,Number,78375,36081
Staten Island,Below 100% FPL,2017,Number,19489,36085
New York City,Below 100% FPL,2017,Number,471200,3651000
Bronx,Below 100% FPL,2016,Number,150213,36005
Manhattan,Below 100% FPL,2016,Number,57852,36061
Brooklyn,Below 100% FPL,2016,Number,181794,36047
Queens,Below 100% FPL,2016,Number,85947,36081
Staten Island,Below 100% FPL,2016,Number,20738,36085
New York City,Below 100% FPL,2016,Number,496544,3651000
Bronx,Below 100% FPL,2015,Number,149303,36005
Manhattan,Below 100% FPL,2015,Number,56625,36061
Brooklyn,Below 100% FPL,2015,Number,192041,36047
Queens,Below 100% FPL,2015,Number,92197,36081
Staten Island,Below 100% FPL,2015,Number,21179,36085
New York City,Below 100% FPL,2015,Number,511345,3651000
Bronx,Below 100% FPL,2014,Number,152720,36005
Manhattan,Below 100% FPL,2014,Number,56972,36061
Brooklyn,Below 100% FPL,2014,Number,198249,36047
Queens,Below 100% FPL,2014,Number,101137,36081
Staten Island,Below 100% FPL,2014,Number,20551,36085
New York City,Below 100% FPL,2014,Number,529629,3651000
Bronx,Below 100% FPL,2013,Number,150462,36005
Manhattan,Below 100% FPL,2013,Number,58502,36061
Brooklyn,Below 100% FPL,2013,Number,200329,36047
Queens,Below 100% FPL,2013,Number,102657,36081
Staten Island,Below 100% FPL,2013,Number,18636,36085
New York City,Below 100% FPL,2013,Number,530586,3651000
Bronx,Below 100% FPL,2012,Number,155658,36005
Manhattan,Below 100% FPL,2012,Number,58602,36061
Brooklyn,Below 100% FPL,2012,Number,199167,36047
Queens,Below 100% FPL,2012,Number,104191,36081
Staten Island,Below 100% FPL,2012,Number,17645,36085
New York City,Below 100% FPL,2012,Number,535263,3651000
Bronx,Below 100% FPL,2011,Number,151340,36005
Manhattan,Below 100% FPL,2011,Number,57411,36061
Brooklyn,Below 100% FPL,2011,Number,195555,36047
Queens,Below 100% FPL,2011,Number,92789,36081
Staten Island,Below 100% FPL,2011,Number,18905,36085
New York City,Below 100% FPL,2011,Number,516000,3651000
Bronx,Below 100% FPL,2010,Number,153351,36005
Manhattan,Below 100% FPL,2010,Number,56002,36061
Brooklyn,Below 100% FPL,2010,Number,193848,36047
Queens,Below 100% FPL,2010,Number,88217,36081
Staten Island,Below 100% FPL,2010,Number,17770,36085
New York City,Below 100% FPL,2010,Number,509188,3651000
Bronx,100 to 199% FPL,2017,Number,89142,36005
Manhattan,100 to 199% FPL,2017,Number,40922,36061
Brooklyn,100 to 199% FPL,2017,Number,145942,36047
Queens,100 to 199% FPL,2017,Number,122642,36081
Staten Island,100 to 199% FPL,2017,Number,14128,36085
New York City,100 to 199% FPL,2017,Number,412776,3651000
Bronx,100 to 199% FPL,2016,Number,92956,36005
Manhattan,100 to 199% FPL,2016,Number,41034,36061
Brooklyn,100 to 199% FPL,2016,Number,145720,36047
Queens,100 to 199% FPL,2016,Number,120732,36081
Staten Island,100 to 199% FPL,2016,Number,13495,36085
New York City,100 to 199% FPL,2016,Number,413937,3651000
Bronx,100 to 199% FPL,2015,Number,94751,36005
Manhattan,100 to 199% FPL,2015,Number,40700,36061
Brooklyn,100 to 199% FPL,2015,Number,145169,36047
Queens,100 to 199% FPL,2015,Number,116037,36081
Staten Island,100 to 199% FPL,2015,Number,16284,36085
New York City,100 to 199% FPL,2015,Number,412941,3651000
Bronx,100 to 199% FPL,2014,Number,97714,36005
Manhattan,100 to 199% FPL,2014,Number,41776,36061
Brooklyn,100 to 199% FPL,2014,Number,144411,36047
Queens,100 to 199% FPL,2014,Number,107716,36081
Staten Island,100 to 199% FPL,2014,Number,16744,36085
New York City,100 to 199% FPL,2014,Number,408361,3651000
Bronx,100 to 199% FPL,2013,Number,96273,36005
Manhattan,100 to 199% FPL,2013,Number,42885,36061
Brooklyn,100 to 199% FPL,2013,Number,144527,36047
Queens,100 to 199% FPL,2013,Number,106398,36081
Staten Island,100 to 199% FPL,2013,Number,18722,36085
New York City,100 to 199% FPL,2013,Number,408805,3651000
Bronx,100 to 199% FPL,2012,Number,96049,36005
Manhattan,100 to 199% FPL,2012,Number,46283,36061
Brooklyn,100 to 199% FPL,2012,Number,144025,36047
Queens,100 to 199% FPL,2012,Number,106108,36081
Staten Island,100 to 199% FPL,2012,Number,17034,36085
New York City,100 to 199% FPL,2012,Number,409499,3651000
Bronx,100 to 199% FPL,2011,Number,96089,36005
Manhattan,100 to 199% FPL,2011,Number,46260,36061
Brooklyn,100 to 199% FPL,2011,Number,144288,36047
Queens,100 to 199% FPL,2011,Number,109965,36081
Staten Island,100 to 199% FPL,2011,Number,17357,36085
New York City,100 to 199% FPL,2011,Number,413959,3651000
Bronx,100 to 199% FPL,2010,Number,96826,36005
Manhattan,100 to 199% FPL,2010,Number,46335,36061
Brooklyn,100 to 199% FPL,2010,Number,145780,36047
Queens,100 to 199% FPL,2010,Number,109159,36081
Staten Island,100 to 199% FPL,2010,Number,16850,36085
New York City,100 to 199% FPL,2010,Number,414950,3651000
Bronx,Below 200% FPL,2017,Number,235799,36005
Manhattan,Below 200% FPL,2017,Number,99383,36061
Brooklyn,Below 200% FPL,2017,Number,314160,36047
Queens,Below 200% FPL,2017,Number,201017,36081
Staten Island,Below 200% FPL,2017,Number,33617,36085
New York City,Below 200% FPL,2017,Number,883976,3651000
Bronx,Below 200% FPL,2016,Number,243169,36005
Manhattan,Below 200% FPL,2016,Number,98886,36061
Brooklyn,Below 200% FPL,2016,Number,327514,36047
Queens,Below 200% FPL,2016,Number,206679,36081
Staten Island,Below 200% FPL,2016,Number,34233,36085
New York City,Below 200% FPL,2016,Number,910481,3651000
Bronx,Below 200% FPL,2015,Number,244054,36005
Manhattan,Below 200% FPL,2015,Number,97325,36061
Brooklyn,Below 200% FPL,2015,Number,337210,36047
Queens,Below 200% FPL,2015,Number,208234,36081
Staten Island,Below 200% FPL,2015,Number,37463,36085
New York City,Below 200% FPL,2015,Number,924286,3651000
Bronx,Below 200% FPL,2014,Number,250434,36005
Manhattan,Below 200% FPL,2014,Number,98748,36061
Brooklyn,Below 200% FPL,2014,Number,342660,36047
Queens,Below 200% FPL,2014,Number,208853,36081
Staten Island,Below 200% FPL,2014,Number,37295,36085
New York City,Below 200% FPL,2014,Number,937990,3651000
Bronx,Below 200% FPL,2013,Number,246735,36005
Manhattan,Below 200% FPL,2013,Number,101387,36061
Brooklyn,Below 200% FPL,2013,Number,344856,36047
Queens,Below 200% FPL,2013,Number,209055,36081
Staten Island,Below 200% FPL,2013,Number,37358,36085
New York City,Below 200% FPL,2013,Number,939391,3651000
Bronx,Below 200% FPL,2012,Number,251707,36005
Manhattan,Below 200% FPL,2012,Number,104885,36061
Brooklyn,Below 200% FPL,2012,Number,343192,36047
Queens,Below 200% FPL,2012,Number,210299,36081
Staten Island,Below 200% FPL,2012,Number,34679,36085
New York City,Below 200% FPL,2012,Number,944762,3651000
Bronx,Below 200% FPL,2011,Number,247429,36005
Manhattan,Below 200% FPL,2011,Number,103671,36061
Brooklyn,Below 200% FPL,2011,Number,339843,36047
Queens,Below 200% FPL,2011,Number,202754,36081
Staten Island,Below 200% FPL,2011,Number,36262,36085
New York City,Below 200% FPL,2011,Number,929959,3651000
Bronx,Below 200% FPL,2010,Number,250177,36005
Manhattan,Below 200% FPL,2010,Number,102337,36061
Brooklyn,Below 200% FPL,2010,Number,339628,36047
Queens,Below 200% FPL,2010,Number,197376,36081
Staten Island,Below 200% FPL,2010,Number,34620,36085
New York City,Below 200% FPL,2010,Number,924138,3651000
Bronx,200 to 399% FPL,2017,Number,83054,36005
Manhattan,200 to 399% FPL,2017,Number,31465,36061
Brooklyn,200 to 399% FPL,2017,Number,141919,36047
Queens,200 to 399% FPL,2017,Number,138980,36081
Staten Island,200 to 399% FPL,2017,Number,30131,36085
New York City,200 to 399% FPL,2017,Number,425549,3651000
Bronx,200 to 399% FPL,2016,Number,79065,36005
Manhattan,200 to 399% FPL,2016,Number,30889,36061
Brooklyn,200 to 399% FPL,2016,Number,141371,36047
Queens,200 to 399% FPL,2016,Number,136476,36081
Staten Island,200 to 399% FPL,2016,Number,31441,36085
New York City,200 to 399% FPL,2016,Number,419242,3651000
Bronx,200 to 399% FPL,2015,Number,77494,36005
Manhattan,200 to 399% FPL,2015,Number,33832,36061
Brooklyn,200 to 399% FPL,2015,Number,137915,36047
Queens,200 to 399% FPL,2015,Number,137617,36081
Staten Island,200 to 399% FPL,2015,Number,29299,36085
New York City,200 to 399% FPL,2015,Number,416157,3651000
Bronx,200 to 399% FPL,2014,Number,73519,36005
Manhattan,200 to 399% FPL,2014,Number,34887,36061
Brooklyn,200 to 399% FPL,2014,Number,139716,36047
Queens,200 to 399% FPL,2014,Number,136600,36081
Staten Island,200 to 399% FPL,2014,Number,28553,36085
New York City,200 to 399% FPL,2014,Number,413275,3651000
Bronx,200 to 399% FPL,2013,Number,76972,36005
Manhattan,200 to 399% FPL,2013,Number,35898,36061
Brooklyn,200 to 399% FPL,2013,Number,140938,36047
Queens,200 to 399% FPL,2013,Number,139222,36081
Staten Island,200 to 399% FPL,2013,Number,28544,36085
New York City,200 to 399% FPL,2013,Number,421574,3651000
Bronx,200 to 399% FPL,2012,Number,74474,36005
Manhattan,200 to 399% FPL,2012,Number,34857,36061
Brooklyn,200 to 399% FPL,2012,Number,141609,36047
Queens,200 to 399% FPL,2012,Number,138787,36081
Staten Island,200 to 399% FPL,2012,Number,30630,36085
New York City,200 to 399% FPL,2012,Number,420357,3651000
Bronx,200 to 399% FPL,2011,Number,81544,36005
Manhattan,200 to 399% FPL,2011,Number,35343,36061
Brooklyn,200 to 399% FPL,2011,Number,148355,36047
Queens,200 to 399% FPL,2011,Number,147802,36081
Staten Island,200 to 399% FPL,2011,Number,32305,36085
New York City,200 to 399% FPL,2011,Number,445349,3651000
Bronx,200 to 399% FPL,2010,Number,81212,36005
Manhattan,200 to 399% FPL,2010,Number,43849,36061
Brooklyn,200 to 399% FPL,2010,Number,156168,36047
Queens,200 to 399% FPL,2010,Number,155442,36081
Staten Island,200 to 399% FPL,2010,Number,32669,36085
New York City,200 to 399% FPL,2010,Number,469340,3651000
Bronx,400% FPL and above,2017,Number,38580,36005
Manhattan,400% FPL and above,2017,Number,105817,36061
Brooklyn,400% FPL and above,2017,Number,145774,36047
Queens,400% FPL and above,2017,Number,126987,36081
Staten Island,400% FPL and above,2017,Number,39906,36085
New York City,400% FPL and above,2017,Number,457064,3651000
Bronx,400% FPL and above,2016,Number,36443,36005
Manhattan,400% FPL and above,2016,Number,106853,36061
Brooklyn,400% FPL and above,2016,Number,134331,36047
Queens,400% FPL and above,2016,Number,124641,36081
Staten Island,400% FPL and above,2016,Number,38123,36085
New York City,400% FPL and above,2016,Number,440391,3651000
Bronx,400% FPL and above,2015,Number,35506,36005
Manhattan,400% FPL and above,2015,Number,103810,36061
Brooklyn,400% FPL and above,2015,Number,126252,36047
Queens,400% FPL and above,2015,Number,119099,36081
Staten Island,400% FPL and above,2015,Number,37527,36085
New York City,400% FPL and above,2015,Number,422194,3651000
Bronx,400% FPL and above,2014,Number,34667,36005
Manhattan,400% FPL and above,2014,Number,101372,36061
Brooklyn,400% FPL and above,2014,Number,116136,36047
Queens,400% FPL and above,2014,Number,116687,36081
Staten Island,400% FPL and above,2014,Number,39281,36085
New York City,400% FPL and above,2014,Number,408143,3651000
Bronx,400% FPL and above,2013,Number,35758,36005
Manhattan,400% FPL and above,2013,Number,97216,36061
Brooklyn,400% FPL and above,2013,Number,108831,36047
Queens,400% FPL and above,2013,Number,110040,36081
Staten Island,400% FPL and above,2013,Number,40267,36085
New York City,400% FPL and above,2013,Number,392112,3651000
Bronx,400% FPL and above,2012,Number,36111,36005
Manhattan,400% FPL and above,2012,Number,94499,36061
Brooklyn,400% FPL and above,2012,Number,105287,36047
Queens,400% FPL and above,2012,Number,107757,36081
Staten Island,400% FPL and above,2012,Number,41717,36085
New York City,400% FPL and above,2012,Number,385371,3651000
Bronx,400% FPL and above,2011,Number,37949,36005
Manhattan,400% FPL and above,2011,Number,102042,36061
Brooklyn,400% FPL and above,2011,Number,111810,36047
Queens,400% FPL and above,2011,Number,115650,36081
Staten Island,400% FPL and above,2011,Number,40857,36085
New York City,400% FPL and above,2011,Number,408308,3651000
Bronx,400% FPL and above,2010,Number,41974,36005
Manhattan,400% FPL and above,2010,Number,107604,36061
Brooklyn,400% FPL and above,2010,Number,118046,36047
Queens,400% FPL and above,2010,Number,122268,36081
Staten Island,400% FPL and above,2010,Number,43631,36085
New York City,400% FPL and above,2010,Number,433523,3651000
Bronx,Below 100% FPL,2017,Percent,0.41031,36005
Manhattan,Below 100% FPL,2017,Percent,0.24702,36061
Brooklyn,Below 100% FPL,2017,Percent,0.2795,36047
Queens,Below 100% FPL,2017,Percent,0.16783,36081
Staten Island,Below 100% FPL,2017,Percent,0.18802,36085
New York City,Below 100% FPL,2017,Percent,0.26673,3651000
Bronx,Below 100% FPL,2016,Percent,0.4188,36005
Manhattan,Below 100% FPL,2016,Percent,0.24449,36061
Brooklyn,Below 100% FPL,2016,Percent,0.30137,36047
Queens,Below 100% FPL,2016,Percent,0.18373,36081
Staten Island,Below 100% FPL,2016,Percent,0.19979,36085
New York City,Below 100% FPL,2016,Percent,0.28052,3651000
Bronx,Below 100% FPL,2015,Percent,0.41815,36005
Manhattan,Below 100% FPL,2015,Percent,0.24099,36061
Brooklyn,Below 100% FPL,2015,Percent,0.31934,36047
Queens,Below 100% FPL,2015,Percent,0.19829,36081
Staten Island,Below 100% FPL,2015,Percent,0.20308,36085
New York City,Below 100% FPL,2015,Percent,0.2901,3651000
Bronx,Below 100% FPL,2014,Percent,0.42585,36005
Manhattan,Below 100% FPL,2014,Percent,0.24243,36061
Brooklyn,Below 100% FPL,2014,Percent,0.33124,36047
Queens,Below 100% FPL,2014,Percent,0.21884,36081
Staten Island,Below 100% FPL,2014,Percent,0.19548,36085
New York City,Below 100% FPL,2014,Percent,0.30103,3651000
Bronx,Below 100% FPL,2013,Percent,0.41857,36005
Manhattan,Below 100% FPL,2013,Percent,0.24947,36061
Brooklyn,Below 100% FPL,2013,Percent,0.3369,36047
Queens,Below 100% FPL,2013,Percent,0.22399,36081
Staten Island,Below 100% FPL,2013,Percent,0.17553,36085
New York City,Below 100% FPL,2013,Percent,0.30266,3651000
Bronx,Below 100% FPL,2012,Percent,0.42965,36005
Manhattan,Below 100% FPL,2012,Percent,0.25018,36061
Brooklyn,Below 100% FPL,2012,Percent,0.33752,36047
Queens,Below 100% FPL,2012,Percent,0.22807,36081
Staten Island,Below 100% FPL,2012,Percent,0.16487,36085
New York City,Below 100% FPL,2012,Percent,0.30578,3651000
Bronx,Below 100% FPL,2011,Percent,0.41246,36005
Manhattan,Below 100% FPL,2011,Percent,0.23816,36061
Brooklyn,Below 100% FPL,2011,Percent,0.32592,36047
Queens,Below 100% FPL,2011,Percent,0.19903,36081
Staten Island,Below 100% FPL,2011,Percent,0.17277,36085
New York City,Below 100% FPL,2011,Percent,0.2893,3651000
Bronx,Below 100% FPL,2010,Percent,0.41073,36005
Manhattan,Below 100% FPL,2010,Percent,0.22066,36061
Brooklyn,Below 100% FPL,2010,Percent,0.31579,36047
Queens,Below 100% FPL,2010,Percent,0.18569,36081
Staten Island,Below 100% FPL,2010,Percent,0.16021,36085
New York City,Below 100% FPL,2010,Percent,0.2787,3651000
Bronx,100 to 199% FPL,2017,Percent,0.24939,36005
Manhattan,100 to 199% FPL,2017,Percent,0.17291,36061
Brooklyn,100 to 199% FPL,2017,Percent,0.24249,36047
Queens,100 to 199% FPL,2017,Percent,0.26263,36081
Staten Island,100 to 199% FPL,2017,Percent,0.1363,36085
New York City,100 to 199% FPL,2017,Percent,0.23366,3651000
Bronx,100 to 199% FPL,2016,Percent,0.25916,36005
Manhattan,100 to 199% FPL,2016,Percent,0.17341,36061
Brooklyn,100 to 199% FPL,2016,Percent,0.24157,36047
Queens,100 to 199% FPL,2016,Percent,0.25809,36081
Staten Island,100 to 199% FPL,2016,Percent,0.13001,36085
New York City,100 to 199% FPL,2016,Percent,0.23385,3651000
Bronx,100 to 199% FPL,2015,Percent,0.26537,36005
Manhattan,100 to 199% FPL,2015,Percent,0.17322,36061
Brooklyn,100 to 199% FPL,2015,Percent,0.24139,36047
Queens,100 to 199% FPL,2015,Percent,0.24957,36081
Staten Island,100 to 199% FPL,2015,Percent,0.15614,36085
New York City,100 to 199% FPL,2015,Percent,0.23427,3651000
Bronx,100 to 199% FPL,2014,Percent,0.27247,36005
Manhattan,100 to 199% FPL,2014,Percent,0.17776,36061
Brooklyn,100 to 199% FPL,2014,Percent,0.24128,36047
Queens,100 to 199% FPL,2014,Percent,0.23308,36081
Staten Island,100 to 199% FPL,2014,Percent,0.15927,36085
New York City,100 to 199% FPL,2014,Percent,0.2321,3651000
Bronx,100 to 199% FPL,2013,Percent,0.26782,36005
Manhattan,100 to 199% FPL,2013,Percent,0.18288,36061
Brooklyn,100 to 199% FPL,2013,Percent,0.24306,36047
Queens,100 to 199% FPL,2013,Percent,0.23215,36081
Staten Island,100 to 199% FPL,2013,Percent,0.17634,36085
New York City,100 to 199% FPL,2013,Percent,0.23319,3651000
Bronx,100 to 199% FPL,2012,Percent,0.26511,36005
Manhattan,100 to 199% FPL,2012,Percent,0.19759,36061
Brooklyn,100 to 199% FPL,2012,Percent,0.24407,36047
Queens,100 to 199% FPL,2012,Percent,0.23226,36081
Staten Island,100 to 199% FPL,2012,Percent,0.15916,36085
New York City,100 to 199% FPL,2012,Percent,0.23393,3651000
Bronx,100 to 199% FPL,2011,Percent,0.26188,36005
Manhattan,100 to 199% FPL,2011,Percent,0.19191,36061
Brooklyn,100 to 199% FPL,2011,Percent,0.24048,36047
Queens,100 to 199% FPL,2011,Percent,0.23587,36081
Staten Island,100 to 199% FPL,2011,Percent,0.15862,36085
New York City,100 to 199% FPL,2011,Percent,0.23209,3651000
Bronx,100 to 199% FPL,2010,Percent,0.25933,36005
Manhattan,100 to 199% FPL,2010,Percent,0.18257,36061
Brooklyn,100 to 199% FPL,2010,Percent,0.23749,36047
Queens,100 to 199% FPL,2010,Percent,0.22977,36081
Staten Island,100 to 199% FPL,2010,Percent,0.15191,36085
New York City,100 to 199% FPL,2010,Percent,0.22712,3651000
Bronx,Below 200% FPL,2017,Percent,0.6597,36005
Manhattan,Below 200% FPL,2017,Percent,0.41993,36061
Brooklyn,Below 200% FPL,2017,Percent,0.52199,36047
Queens,Below 200% FPL,2017,Percent,0.43046,36081
Staten Island,Below 200% FPL,2017,Percent,0.32432,36085
New York City,Below 200% FPL,2017,Percent,0.50039,3651000
Bronx,Below 200% FPL,2016,Percent,0.67796,36005
Manhattan,Below 200% FPL,2016,Percent,0.4179,36061
Brooklyn,Below 200% FPL,2016,Percent,0.54295,36047
Queens,Below 200% FPL,2016,Percent,0.44181,36081
Staten Island,Below 200% FPL,2016,Percent,0.32981,36085
New York City,Below 200% FPL,2016,Percent,0.51436,3651000
